382,385,UPS,shipping,,,,
383,386,URBN,retail,,,,
384,387,USB,finance,,,,
385,388,UTX,aviation,aerospace,,,
386,389,V,finance,,,,
387,390,VAR,health,,,,
388,391,VFC,retail,,,,
389,392,VIAB,media,entertainment,,,
390,393,VLO,energy,,,,
391,394,VMC,materials,construction,,,
392,395,VNO,real estate,,,,
393,396,VRSN,it,,,,
394,397,VTR,real estate,,,,
395,398,VZ,telecom,,,,
396,399,WAT,utilities,,,,
397,400,WDC,data storage,,,,
398,401,WEC,utilities,,,,
399,402,WFC,finance,,,,
400,403,WHR,consumer goods,manufacturing,,,
401,404,WM,waste,,,,
402,405,WMB,energy,,,,
403,406,WMT,consumer goods,retail,,,
404,408,WPX,energy,,,,
405,409,WU,telecom,,,,
406,410,WY,materials,real estate,,,
407,411,WYNN,tourism,,,,
408,412,X,materials,manufacturing,,,
409,413,XEL,utilities,,,,
410,414,XLNX,it hardware,,,,
411,415,XOM,energy,,,,
412,416,XRAY,health,,,,
413,417,XRX,it hardware,,,,
414,418,XYL,water,,,,
415,419,YUM,food,,,,
416,420,ZION,finance,,,,
